Symbol,Model,MAE,RMSE
AAPL,Naive lag1,7.598825022708243e-05,0.0001105764691296
ABBV,Naive lag1,9.92826554615545e-05,0.0001521232853644
ADBE,Naive lag1,1.4486132423581842e-05,2.2004146134442974e-05
AMD,Naive lag1,0.0001192730660813,0.0001797581809945
AMZN,Naive lag1,7.573575285949388e-05,0.0001066854685844
AVGO,Naive lag1,0.0008405258250485,0.0014722871288217
BA,Naive lag1,1.9175547005583033e-05,2.6917155730801657e-05
CAT,Naive lag1,0.0001132537580227,0.0001676634642471
COST,Naive lag1,2.3531595609380493e-05,3.394904810160636e-05
CRM,Naive lag1,4.124404899092954e-05,6.124676929077135e-05
CVX,Naive lag1,0.0001056351614423,0.0001452987190396
DIA,Naive lag1,3.1662317612192815e-05,4.477984741625167e-05
DIS,Naive lag1,4.01476799452535e-05,6.0248634521066206e-05
GOOG,Naive lag1,0.0001131343819264,0.0001619075304675
GOOGL,Naive lag1,0.0001147120861089,0.0001646528378653
GS,Naive lag1,5.699538718669705e-05,8.560456446473044e-05
HD,Naive lag1,2.7564523498823615e-05,3.669265651582987e-05
JNJ,Naive lag1,6.808390599237825e-05,9.64506260989765e-05
JPM,Naive lag1,0.0001073009058686,0.0001623657780084
KO,Naive lag1,0.0002265966436622,0.0003073261697219
MA,Naive lag1,2.917106193755767e-05,4.169790403991453e-05
MC.PA,Naive lag1,1.9938754947958655e-05,2.8218845824149083e-05
MCD,Naive lag1,5.085950725543722e-05,6.963809220463715e-05
META,Naive lag1,5.708667575502125e-05,8.822386343833708e-05
MSFT,Naive lag1,4.082089059708371e-05,5.614987657597004e-05
NFLX,Naive lag1,0.0002137041362294,0.0003236566167977
NVDA,Naive lag1,0.0018341872272154,0.0028391588189228
PEP,Naive lag1,8.198557021638588e-05,0.0001115099288118
PFE,Naive lag1,0.0001720962489694,0.0002358234515199
QQQ,Naive lag1,3.1280778526312236e-05,4.4119063742668366e-05
SCHW,Naive lag1,0.0001362977557471,0.0002039196681982
SPY,Naive lag1,2.483048602391039e-05,3.626366733309578e-05
T,Naive lag1,0.0010706954886347,0.001541783313258
TM,Naive lag1,9.59566702606522e-05,0.0001340530832898
TMO,Naive lag1,1.6000742112643472e-05,2.184753642009941e-05
TSLA,Naive lag1,4.321013797132475e-05,6.041969880578497e-05
UNH,Naive lag1,2.3180529680106323e-05,3.854096242363365e-05
V,Naive lag1,4.573900131780158e-05,6.606513660501166e-05
VZ,Naive lag1,0.000297109892245,0.0004225723687552
WMT,Naive lag1,0.0004088640845614,0.0006455122756352
XOM,Naive lag1,0.0002472238545571,0.0003242339463131
^DJI,Naive lag1,3.296056469898854e-07,4.6570746967851874e-07
^GSPC,Naive lag1,2.502513440210873e-06,3.5978864118387077e-06
^NDX,Naive lag1,7.564881144781179e-07,1.062395984663446e-06
