Symbol,Model,MAE,RMSE
AAPL,LSTM,0.0001423562078825993,0.00019308004378739682
AAPL,Naive lag1,7.598825022708243e-05,0.00011057646912965437
AAPL,MA 5 day,9.190426573032219e-05,0.00012739337213662713
AAPL,MA 20 day,0.0002045333548553875,0.00025806815117117776
MSFT,LSTM,7.658076253826696e-05,9.65252372045753e-05
MSFT,Naive lag1,4.0820890597083716e-05,5.614987657597004e-05
MSFT,MA 5 day,4.578080622784869e-05,5.9720830475008184e-05
MSFT,MA 20 day,0.00010531100940935323,0.00013153126910026038
NVDA,LSTM,0.01564935882808015,0.024281924837141377
NVDA,Naive lag1,0.0018341872272154807,0.0028391588189228176
NVDA,MA 5 day,0.002024389457181928,0.0029891445717774774
NVDA,MA 20 day,0.004551782520507528,0.006261694890618439
AMZN,LSTM,0.00013013893601338447,0.00017211814064389025
AMZN,Naive lag1,7.573575285949388e-05,0.00010668546858442164
AMZN,MA 5 day,8.312936610186884e-05,0.00011251494566943503
AMZN,MA 20 day,0.0001786651589523678,0.0002324861527504626
META,LSTM,0.00011147005534947549,0.00015426334012383618
META,Naive lag1,5.7086675755021244e-05,8.822386343833708e-05
META,MA 5 day,6.50558011553307e-05,9.391157696039465e-05
META,MA 20 day,0.00016208593116945078,0.00021644999626325114
GOOGL,LSTM,0.00027754419967595026,0.00045768784848297206
GOOGL,Naive lag1,0.00011471208610891283,0.0001646528378653912
GOOGL,MA 5 day,0.00013336267532080754,0.0001825417757771591
GOOGL,MA 20 day,0.0003102647013429129,0.00041912111695317967
GOOG,LSTM,0.00027687672962728476,0.0004599171040551894
GOOG,Naive lag1,0.00011313438192647722,0.00016190753046759122
GOOG,MA 5 day,0.00013190506694028248,0.00017982644319459345
GOOG,MA 20 day,0.00030690926871884943,0.0004126806650539331
TSLA,LSTM,6.444109995782087e-05,8.279369363898462e-05
TSLA,Naive lag1,4.3210137971324755e-05,6.041969880578497e-05
TSLA,MA 5 day,4.770572460588535e-05,6.546655985726371e-05
TSLA,MA 20 day,0.00011566662673638973,0.00015406993166468096
ADBE,LSTM,2.5615028025548924e-05,3.465126366780387e-05
ADBE,Naive lag1,1.4486132423581842e-05,2.2004146134442974e-05
ADBE,MA 5 day,1.6983752216970078e-05,2.4123850844136895e-05
ADBE,MA 20 day,4.204630399963272e-05,5.395728150974028e-05
AMD,LSTM,0.00017524756382602272,0.00024801899347353165
AMD,Naive lag1,0.00011927306608139472,0.00017975818099454004
AMD,MA 5 day,0.00013732550718051394,0.00019810244136078976
AMD,MA 20 day,0.0003303383339716129,0.00045555880453574397
CRM,LSTM,6.468498385494149e-05,8.873482545643277e-05
CRM,Naive lag1,4.124404899092954e-05,6.124676929077135e-05
CRM,MA 5 day,4.775776294362429e-05,6.593271666498238e-05
CRM,MA 20 day,0.00011205479643545279,0.0001422870302150273
NFLX,LSTM,0.00042221770131626045,0.0006012292600500088
NFLX,Naive lag1,0.00021370413622942013,0.0003236566167977899
NFLX,MA 5 day,0.000246254110265445,0.0003525259155818152
