,mean,std
AAPL,0.001075769902817917,0.017544998538829723
MSFT,0.0008622454010145372,0.015868186271664062
NVDA,0.0018727473087936887,0.028445023909977947
AMZN,0.0010709310043472552,0.020439014706721364
META,0.0011126100851219759,0.024729706337522438
GOOGL,0.0008824352250488691,0.017213773075776862
GOOG,0.0008841551113503764,0.017205338741752882
TSLA,0.0020568072354836993,0.03596498009112608
ADBE,0.0007283341592430445,0.019893872702964412
AMD,0.0013556565175768063,0.03489782883066242
CRM,0.0008711662414688793,0.02238848966414717
NFLX,0.0016650091674983215,0.030595078774132783
AVGO,0.0016521505544404408,0.02355299919704341
COST,0.0008301737145453756,0.012618626369298582
WMT,0.0006033913504293681,0.012191444999568705
MCD,0.000559492937407456,0.011557446030961614
DIS,0.0004616711318790643,0.016381410528179704
HD,0.000810218601001815,0.014439788860605672
KO,0.00039734762890250027,0.01061351269149035
PEP,0.00038848159170399595,0.010937412481670631
JPM,0.0007286105041695565,0.017155576760422394
GS,0.0006119938456762796,0.017907572387328662
SCHW,0.000630878511442506,0.020114558051148826
V,0.0008050005049905969,0.015443899000766812
MA,0.0009085690371931749,0.016829553987314734
UNH,0.0007829045851718632,0.016985068942217466
ABBV,0.0008543904559842323,0.01638481055520901
TMO,0.0007436450395937892,0.015615937780447084
PFE,0.0003384081271455901,0.013720738734755506
JNJ,0.00045040563636573487,0.010497533023630726
XOM,0.0003955989379725095,0.015470935359281106
CVX,0.0004521968674761416,0.016573121188577546
CAT,0.000824695555864895,0.018168756459455156
BA,0.0006224395449125041,0.02234651008538643
VZ,0.00033053507049293616,0.011564052327660756
T,0.0004016974064930737,0.012851514684861527
TM,0.0004012580677537727,0.014306788401694973
MC.PA,0.0007297107758179484,0.017317480292982804
^GSPC,0.0004959495275018163,0.010789763811974513
^NDX,0.0007185120983547617,0.012968699522647707
^DJI,0.0004206794302546127,0.010337975245704676
SPY,0.000563846638698632,0.010715466683887221
QQQ,0.0007482833373527139,0.012848987338132554
DIA,0.0005038327009667831,0.01028985648955874
