date,close,return,naive_pred,lstm_pred,direction_true,direction_lstm,signal,strategy_return,bh_return,cum_strategy,cum_bh
,V,,,,,,,,,,
2015-01-06,59.600399017333984,-0.006443916615724077,-0.022073651349516443,-0.022073651349516443,-1.0,-1.0,0.0,0.0,-0.006443916615724077,1.0,0.9716246728034603
2015-01-07,60.39894104003906,0.013398266385311164,-0.006443916615724077,-0.01425878398262026,1.0,-1.0,0.0,0.0,0.013398266385311164,1.0,0.9846427589962219
2015-01-08,61.209049224853516,0.013412622321928191,0.013398266385311164,-0.005039767193309785,1.0,-1.0,0.0,-0.0,0.013412622321928191,1.0,0.9978494004446595
2015-01-09,60.301719665527344,-0.01482345455151679,0.013412622321928191,-0.0004266698145002912,-1.0,-1.0,0.0,-0.0,-0.01482345455151679,1.0,0.9830578252079099
2015-01-12,60.18367385864258,-0.0019575860778021648,-0.01482345455151679,-0.003306026761903591,-1.0,-1.0,0.0,0.0,-0.0019575860778021648,1.0,0.9811334048956084
2015-01-13,60.35960006713867,0.0029231550222292846,-0.0019575860778021648,0.0007171862924392647,1.0,1.0,1.0,-0.02001692862127047,0.0029231550222292846,0.9799830713787295,0.9840014099356059
2015-01-14,59.15138626098633,-0.02001692862127047,0.0029231550222292846,0.002590600620029937,-1.0,1.0,1.0,-0.009508659804757902,-0.02001692862127047,0.9706647457385674,0.9643047239496954
2015-01-15,58.58893585205078,-0.009508659804757902,-0.02001692862127047,-0.00409243838128639,-1.0,-1.0,0.0,0.0,-0.009508659804757902,0.9706647457385674,0.9551354783815367
2015-01-16,59.01020431518555,0.007190239198038295,-0.009508659804757902,-0.008676694806623609,1.0,-1.0,0.0,0.0,0.007190239198038295,0.9706647457385674,0.9620031309376327
2015-01-20,59.447654724121094,0.007413131576346377,0.007190239198038295,-0.004273956056712591,1.0,-1.0,0.0,0.0,0.007413131576346377,0.9706647457385674,0.9691345867241306
2015-01-21,59.54949188232422,0.001713055942673014,0.007413131576346377,-0.0023998125258828827,1.0,-1.0,0.0,0.0,0.001713055942673014,0.9706647457385674,0.9707947684871683
2015-01-22,59.62356948852539,0.001243967057646067,0.001713055942673014,-0.002641832341794137,1.0,-1.0,0.0,0.0,0.001243967057646067,0.9706647457385674,0.9720024051989015
2015-01-23,59.78326416015625,0.0026783816031275,0.001243967057646067,0.0016103467939891703,1.0,1.0,1.0,-0.0068139483955409474,0.0026783816031275,0.964050686251734,0.9746057985591818
2015-01-26,59.37590408325195,-0.0068139483955409474,0.0026783816031275,0.00404775507556625,-1.0,1.0,1.0,-0.021596093860875465,-0.0068139483955409474,0.9432309571448001,0.9679648849418045
2015-01-27,58.0936164855957,-0.021596093860875465,-0.0068139483955409474,0.001246917556850402,-1.0,1.0,1.0,-0.0184469744452207,-0.021596093860875465,0.9258311997824089,0.9470606244325698
2015-01-28,57.02196502685547,-0.0184469744452207,-0.021596093860875465,-0.004554927530593967,-1.0,-1.0,0.0,0.0,-0.0184469744452207,0.9258311997824089,0.9295902212955874
2015-01-29,57.40156555175781,0.006657093011851911,-0.0184469744452207,-0.008586933608172708,1.0,-1.0,0.0,0.0,0.006657093011851911,0.9258311997824089,0.9357785898616602
2015-01-30,59.000938415527344,0.027862878797746626,0.006657093011851911,-0.00750430841733154,1.0,-1.0,0.0,0.0,0.027862878797746626,0.9258311997824089,0.9618520752925018
2015-02-02,59.1004524230957,0.0016866512676037004,0.027862878797746626,-0.0024674089784077146,1.0,-1.0,0.0,0.0,0.0016866512676037004,0.9258311997824089,0.9634743843145411
2015-02-03,60.13044738769531,0.01742786937104901,0.0016866512676037004,-0.000767289045778785,1.0,-1.0,0.0,0.0,0.01742786937104901,0.9258311997824089,0.9802656900267268
2015-02-04,61.310890197753906,0.019631365827824432,0.01742786937104901,0.00703750360060611,1.0,1.0,1.0,0.026086401420781336,0.019631365827824432,0.9499828041078164,0.9995096443961062
2015-02-05,62.91027069091797,0.026086401420781336,0.019631365827824432,0.014653171655215135,1.0,1.0,1.0,-0.01611516200720975,0.026086401420781336,0.9346736773155556,1.0255832542037655
2015-02-06,61.896461486816406,-0.01611516200720975,0.026086401420781336,0.01853903333700102,-1.0,1.0,1.0,-0.007329136474498066,-0.01611516200720975,0.9278233263753889,1.0090558139103905
2015-02-09,61.442813873291016,-0.007329136474498066,-0.01611516200720975,0.009743425176009745,-1.0,1.0,1.0,-0.003427730970614107,-0.007329136474498066,0.9246429976243138,1.0016603061398555
2015-02-10,61.23220443725586,-0.003427730970614107,-0.007329136474498066,0.007940267627589393,-1.0,1.0,1.0,0.007270652153936741,-0.003427730970614107,0.9313657552266136,0.9982268840864651
2015-02-11,61.67740249633789,0.007270652153936741,-0.003427730970614107,0.003769147559256769,1.0,1.0,1.0,0.018496989274299436,0.007270652153936741,0.9485932176114901,1.0054846445313659
2015-02-12,62.8182487487793,0.018496989274299436,0.007270652153936741,0.001297004824479231,1.0,1.0,1.0,-0.0047252069190893975,0.018496989274299436,0.944110918376231,1.0240830832167354
2015-02-13,62.521419525146484,-0.0047252069190893975,0.018496989274299436,-0.00022087760481714902,-1.0,-1.0,0.0,0.0,-0.0047252069190893975,0.944110918376231,1.0192440787461972
2015-02-17,62.808963775634766,0.004599131828294967,-0.0047252069190893975,0.002057113412806921,1.0,1.0,1.0,-0.006460798373859045,0.004599131828294967,0.9380112080900432,1.02393171662956
2015-02-18,62.403167724609375,-0.006460798373859045,0.004599131828294967,0.0044427670733655274,-1.0,1.0,1.0,-7.378374796496168e-05,-0.006460798373859045,0.9379419981074772,1.0173163002598171
2015-02-19,62.398563385009766,-7.378374796496168e-05,-0.006460798373859045,0.00383615359271654,-1.0,1.0,1.0,0.014492270750214864,-7.378374796496168e-05,0.9515349074920483,1.017241238850318
2015-02-20,63.302860260009766,0.014492270750214864,-7.378374796496168e-05,0.0023672664123361997,1.0,1.0,1.0,3.663872261028267e-05,0.014492270750214864,0.9515697705155779,1.0319833743020208
